Merged PR #	Skipped PR #	Tag	Comment
4157			feature: track onchain resolution txs
	4451		(ignored) lint
4446			doc
4456			bugfix: scb file
4429			wumbo channels
	4465		(ignored) already have
4460			improv: log
4412			feature: disable height hint cache
	4344		(ignored) already have
	$6d815379d		(ignored) docker
4469			mobile bindings
4467			improv
4384			improv: autopilot algo
4455			feature: dont publish channel
4478			typo
	4482		(ignored) CI
4488			constant change (min cltv)
4430			bugfix lnwallet restore
4390			docs 
4480			typo
4431			bugfix lnwallet restore
4408			(partial) fix arm build
4432			bugfix lnwallet restore
	4438		(ignored) already have
	4494		(ignored) travis
4411			improv etcd
4504			mobile bindings
4506			bugfix bbolt opts
4509			typo
4475			(partial) windows bugfix
4511			bugfix rest proxy
4507			doc config
4348			improv etcd
4496			itest whitelist
4526			bugfix etcd
4529			bugfix chainntfs
4525			bugfix scb restores
4528			typo
4521			improv mpp
4533			(partial) bugfix
	4534		dep
4461		v0.11.0-beta	lnwallet tests
4551			bugfix rest proxy
4527			improv: config max htlcs
	4570		not applicable
4560			improv external channels
4580			bugfix prev pr
4427			improv advanced macaroons
4463			improv advanced macaroons
4596			bugfix
4464			improv advanced macaroons
4558			improv anchors
4614			bugfix
4479			feature: critical log shutdown
4615			improv: disable disk health check
4567			improv: wumbo limit
4618			bugfix healthcheck
4620			bugfix chainntfs
4421			improv tls
4601		v0.11.1-beta	improv psbt
